09:07:20.768 -> timestamp,accel_x,accel_y,accel_z,sound_level
09:07:33.889 -> 14698,0.024292,-0.995972,-0.008179,124
09:07:33.988 -> 14798,0.006958,-1.037231,-0.038208,132
09:07:34.090 -> 14898,0.000977,-1.006592,0.002808,124
09:07:34.187 -> 14998,0.029785,-1.037231,-0.014526,115
09:07:34.286 -> 15098,0.008423,-1.015137,-0.004028,139
09:07:34.385 -> 15198,0.037964,-0.977051,0.001831,156
09:07:34.484 -> 15298,0.021484,-1.010498,0.031860,126
09:07:34.582 -> 15398,0.009888,-1.009644,-0.002441,135
09:07:34.680 -> 15498,0.004395,-1.023315,-0.001709,173
09:07:34.780 -> 15598,0.015625,-1.002441,0.004639,163
09:07:34.877 -> 15698,0.026001,-0.980591,0.000488,112
09:07:34.975 -> 15798,0.010376,-0.999146,0.004883,113
09:07:35.075 -> 15898,0.012207,-1.025146,-0.007935,113
09:07:35.174 -> 15998,0.020630,-1.019043,-0.004761,182
09:07:35.272 -> 16098,0.017212,-1.013916,-0.007568,99
09:07:35.370 -> 16198,0.033325,-1.029663,-0.011719,146
09:07:35.469 -> 16298,0.004883,-1.013550,-0.037109,120
09:07:35.567 -> 16398,0.004761,-1.007202,-0.020020,146
09:07:35.665 -> 16498,0.010986,-1.017090,-0.009644,103
09:07:35.763 -> 16598,0.019653,-1.000977,0.005615,126
09:07:35.894 -> 16698,0.006470,-1.007446,-0.042358,184
09:07:35.993 -> 16798,-0.001587,-1.014648,-0.008423,129
09:07:36.093 -> 16898,0.009155,-1.010010,-0.002075,96
09:07:36.191 -> 16998,-0.000732,-1.007812,-0.005737,87
09:07:36.290 -> 17098,-0.023804,-1.007446,-0.043213,133
09:07:36.388 -> 17198,0.005493,-1.016113,-0.017822,133
09:07:36.487 -> 17298,-0.013550,-1.015747,-0.004883,132
09:07:36.586 -> 17398,0.001343,-0.992310,-0.015869,137
09:07:36.684 -> 17498,-0.004883,-1.000977,0.001587,99
09:07:36.784 -> 17598,-0.010498,-1.015625,0.001221,224
09:07:36.884 -> 17698,0.055664,-0.983643,0.008667,171
09:07:36.983 -> 17798,-0.000366,-0.999756,-0.023804,145
09:07:37.082 -> 17898,0.001587,-1.010010,-0.006470,160
09:07:37.180 -> 17998,0.040894,-1.007080,0.032715,107
09:07:37.280 -> 18098,0.007812,-1.011597,-0.006958,146
09:07:37.379 -> 18198,0.003296,-0.988159,0.001709,115
09:07:37.478 -> 18298,0.017456,-1.021240,0.000244,134
09:07:37.576 -> 18398,0.028931,-1.022095,-0.018311,127
09:07:37.674 -> 18498,0.009766,-0.998657,0.018066,102
09:07:37.773 -> 18598,0.009644,-1.008301,-0.005249,126
09:07:37.872 -> 18698,0.020508,-0.996216,-0.000488,135
09:07:37.970 -> 18798,-0.001343,-1.004883,-0.008301,158
09:07:38.068 -> 18898,0.014893,-1.017090,-0.028687,132
09:07:38.166 -> 18998,0.025391,-1.024048,0.029785,137
09:07:38.263 -> 19098,0.013672,-1.004517,-0.020020,137
09:07:38.394 -> 19198,0.011475,-1.029053,-0.023682,122
09:07:38.493 -> 19298,-0.012573,-1.011719,0.002075,157
09:07:38.592 -> 19398,0.000854,-1.010986,-0.004150,122
09:07:38.692 -> 19498,-0.001343,-1.012695,-0.002808,143
09:07:38.791 -> 19598,-0.004517,-1.008789,-0.015625,115
09:07:38.890 -> 19698,0.011719,-1.031982,-0.030273,132
09:07:38.987 -> 19798,0.004639,-1.009521,0.000854,150
09:07:39.087 -> 19898,0.008545,-1.036255,-0.016968,126
